model,epoch,dataset,loss_type,loss
XGBoost,32,validation_0,mlogloss,0.46326797093565336
XGBoost,33,validation_0,mlogloss,0.45023920200196715
XGBoost,34,validation_0,mlogloss,0.4378790234523385
XGBoost,35,validation_0,mlogloss,0.4259499827178167
XGBoost,36,validation_0,mlogloss,0.4146471142778268
XGBoost,37,validation_0,mlogloss,0.4039569036776576
XGBoost,38,validation_0,mlogloss,0.3936008626092776
XGBoost,39,validation_0,mlogloss,0.3835870952972748
XGBoost,40,validation_0,mlogloss,0.3742680160526124
XGBoost,41,validation_0,mlogloss,0.365132863775537
XGBoost,42,validation_0,mlogloss,0.3566708546067167
XGBoost,43,validation_0,mlogloss,0.348802580305191
XGBoost,44,validation_0,mlogloss,0.34088935198676495
XGBoost,45,validation_0,mlogloss,0.33322834141735125
XGBoost,46,validation_0,mlogloss,0.3259063045459271
XGBoost,47,validation_0,mlogloss,0.3191441987354693
XGBoost,48,validation_0,mlogloss,0.31246654315959727
XGBoost,49,validation_0,mlogloss,0.3061032397259941
XGBoost,50,validation_0,mlogloss,0.3001473564248856
XGBoost,51,validation_0,mlogloss,0.2942523102088939
XGBoost,52,validation_0,mlogloss,0.28877490982734744
XGBoost,53,validation_0,mlogloss,0.28347288516023644
XGBoost,54,validation_0,mlogloss,0.27827159194529566
XGBoost,55,validation_0,mlogloss,0.27351850793698607
XGBoost,56,validation_0,mlogloss,0.2687331644788198
XGBoost,57,validation_0,mlogloss,0.26419331004785684
XGBoost,58,validation_0,mlogloss,0.2598907677820328
XGBoost,59,validation_0,mlogloss,0.25573561146877305
XGBoost,60,validation_0,mlogloss,0.25171104235817454
XGBoost,61,validation_0,mlogloss,0.24789535866719628
XGBoost,62,validation_0,mlogloss,0.24421368103572774
XGBoost,63,validation_0,mlogloss,0.24070337139862683
XGBoost,64,validation_0,mlogloss,0.23726989718913205
XGBoost,65,validation_0,mlogloss,0.23390626462336578
XGBoost,66,validation_0,mlogloss,0.23077990886874164
XGBoost,67,validation_0,mlogloss,0.22775222700295805
XGBoost,68,validation_0,mlogloss,0.22482054523310635
XGBoost,69,validation_0,mlogloss,0.22207620502495143
XGBoost,70,validation_0,mlogloss,0.21934902156658778
XGBoost,71,validation_0,mlogloss,0.21672958765215375
XGBoost,72,validation_0,mlogloss,0.21409132487316904
XGBoost,73,validation_0,mlogloss,0.21176980965809297
XGBoost,74,validation_0,mlogloss,0.2093707678539087
XGBoost,75,validation_0,mlogloss,0.2071211013555257
XGBoost,76,validation_0,mlogloss,0.20494097506439862
XGBoost,77,validation_0,mlogloss,0.20277377939643382
XGBoost,78,validation_0,mlogloss,0.20080842644836286
XGBoost,79,validation_0,mlogloss,0.19877475568395306
XGBoost,80,validation_0,mlogloss,0.1967998689477047
XGBoost,81,validation_0,mlogloss,0.19499466486085462
XGBoost,82,validation_0,mlogloss,0.19317500696164813
XGBoost,83,validation_0,mlogloss,0.1914433061697885
XGBoost,84,validation_0,mlogloss,0.1898604923741439
XGBoost,85,validation_0,mlogloss,0.18812649035937068
XGBoost,86,validation_0,mlogloss,0.18660027753021935
XGBoost,87,validation_0,mlogloss,0.18512041979404384
XGBoost,88,validation_0,mlogloss,0.18362764161231832
XGBoost,89,validation_0,mlogloss,0.1822122256037804
XGBoost,90,validation_0,mlogloss,0.18082634407051215
XGBoost,91,validation_0,mlogloss,0.17938394090310672
XGBoost,92,validation_0,mlogloss,0.17805736836512082
XGBoost,93,validation_0,mlogloss,0.17677266902582237
XGBoost,94,validation_0,mlogloss,0.1755889620529814
XGBoost,95,validation_0,mlogloss,0.1744570594502837
XGBoost,96,validation_0,mlogloss,0.1733951488699704
XGBoost,97,validation_0,mlogloss,0.17232330221824696
XGBoost,98,validation_0,mlogloss,0.17125720673773956
XGBoost,99,validation_0,mlogloss,0.17013987685307447
XGBoost,100,validation_0,mlogloss,0.16905108349131015
XGBoost,101,validation_0,mlogloss,0.16805880292909034
XGBoost,102,validation_0,mlogloss,0.16713875076495088
XGBoost,103,validation_0,mlogloss,0.16617956573819234
XGBoost,104,validation_0,mlogloss,0.16524826078030339
XGBoost,105,validation_0,mlogloss,0.1643652476115625
XGBoost,106,validation_0,mlogloss,0.16347072765512008
XGBoost,107,validation_0,mlogloss,0.16269556859148093
XGBoost,108,validation_0,mlogloss,0.16188261604575924
XGBoost,109,validation_0,mlogloss,0.161105511914825
XGBoost,110,validation_0,mlogloss,0.1602875640875823
XGBoost,111,validation_0,mlogloss,0.15949087701237086
XGBoost,112,validation_0,mlogloss,0.15857625755245333
XGBoost,113,validation_0,mlogloss,0.15779666245743393
XGBoost,114,validation_0,mlogloss,0.15712479034787227
XGBoost,115,validation_0,mlogloss,0.15644316519712018
XGBoost,116,validation_0,mlogloss,0.15575186829259563
